motion,joint,axis,mean_cmc,std_cmc,trial_count,lower_bound,upper_bound
kicking,Avg_Ankle,X,0.919431711,0.070166995,92,0.9050937612164339,0.933769660783566
kicking,Avg_Ankle,Y,0.78289507,0.145405871,97,0.7539586921949815,0.8118314478050186
kicking,Avg_Ankle,Z,0.977812785,0.018854821,73,0.9734875563137179,0.9821380136862822
kicking,Avg_Hip,X,0.986020147,0.009105742,89,0.9841283765880505,0.9879119174119494
kicking,Avg_Hip,Y,0.952476307,0.027176663,96,0.9470399420532886,0.9579126719467114
kicking,Avg_Hip,Z,0.946293914,0.048318235,96,0.9366284315586508,0.9559593964413491
kicking,Avg_Knee,X,0.988563092,0.005594517,94,0.9874321332575284,0.9896940507424716
kicking,Avg_Knee,Y,0.987248216,0.00489977,96,0.9862680758748144,0.9882283561251857
kicking,Avg_Knee,Z,0.943565369,0.044129817,89,0.9343971450282091,0.9527335929717908
kicking,Trunk,X,0.89082644,0.067208251,97,0.877451716344237,0.904201163655763
kicking,Trunk,Y,0.865523186,0.09773638,96,0.8459721973355542,0.8850741746644458
kicking,Trunk,Z,0.96587529,0.035688141,97,0.9587732003523628,0.9729773796476373
pitching,Avg_Ankle,X,0.923215244,0.057191799,97,0.9118338362766991,0.9345966517233009
pitching,Avg_Ankle,Y,0.937805073,0.029197447,99,0.9320536491702753,0.9435564968297248
pitching,Avg_Ankle,Z,0.995776593,0.00198286,88,0.9953623083837327,0.9961908776162672
pitching,Avg_Hip,X,0.982743234,0.011733887,94,0.9803711718388118,0.9851152961611881
pitching,Avg_Hip,Y,0.97314507,0.023364904,83,0.9681184848276906,0.9781716551723093
pitching,Avg_Hip,Z,0.990849261,0.00390905,98,0.990075322807918,0.9916231991920821
pitching,Avg_Knee,X,0.991367335,0.004769975,99,0.9904277272362735,0.9923069427637264
pitching,Avg_Knee,Y,0.987207136,0.004863074,93,0.986218770687902,0.988195501312098
pitching,Avg_Knee,Z,0.991296446,0.003407602,88,0.9905844859589675,0.9920084060410325
pitching,Trunk,X,0.960353884,0.031103027,99,0.9542270917957237,0.9664806762042762
pitching,Trunk,Y,0.950168509,0.036755845,98,0.9428913566924709,0.9574456613075292
pitching,Trunk,Z,0.998021643,0.001056487,98,0.9978124730894748,0.9982308129105251
swing,Avg_Ankle,X,0.739634979,0.160395829,84,0.7053343946739756,0.7739355633260243
swing,Avg_Ankle,Y,0.900736036,0.050309214,83,0.8899128137379724,0.9115592582620275
swing,Avg_Ankle,Z,0.994625686,0.003203134,68,0.9938643633651093,0.9953870086348907
swing,Avg_Hip,X,0.931234278,0.039632033,94,0.9232224703312999,0.9392460856687002
swing,Avg_Hip,Y,0.986634675,0.006835563,89,0.9852145473670827,0.9880548026329173
swing,Avg_Hip,Z,0.992756222,0.002982017,89,0.9921366907714049,0.9933757532285952
swing,Avg_Knee,X,0.975379175,0.012491392,88,0.9727693127094882,0.9779890372905119
swing,Avg_Knee,Y,0.993810479,0.002458203,81,0.9932751468503679,0.994345811149632
swing,Avg_Knee,Z,0.986160399,0.005790256,88,0.9849506242377629,0.987370173762237
swing,Trunk,X,0.90384743,0.080556519,87,0.8869200729084459,0.9207747870915541
swing,Trunk,Y,0.970585542,0.02195982,86,0.9659443702364767,0.9752267137635233
swing,Trunk,Z,0.996655588,0.001801557,88,0.996279183538551,0.9970319924614489
